,nida,longitude,latitude
0,1750300.6,32.8035514498,-25.4080221797
1,1634521.8,32.7093130054,-25.4255433987
2,1629663.3,32.8199116667,-25.365385
3,1679541.9,32.8168378571,-25.3848214905
4,1739294.5,32.7615333333,-25.43776
5,1764526.3,,
6,1790919.8,32.817905,-25.3706983333
7,1634454.9,,
8,1629193.5,32.7781207483,-25.4403989279
9,1702794.6,32.8192827778,-25.3477015081
10,1754780.2,32.788785,-25.405985
11,1764494.5,32.808603491,-25.3999967859
12,1814901.2,32.70635063,-25.44929865
13,1817498.4,32.7888870834,-25.3607496397
14,1627837.0,32.9118026986,-25.1271355973
15,1628085.4,32.9080018644,-25.1197336709
16,1628796.9,32.9065181386,-25.1217171602
17,1628961.1,32.93128,-25.099455
18,1652617.4,32.8996549423,-25.1032275323
19,1771208.8,,
20,1627613.0,32.7801028879,-25.4408036044
21,1627615.4,,
22,1627617.8,,
23,1627602.4,,
24,1627616.1,32.8013766667,-25.401815
25,1627536.2,,
26,1627606.2,32.809035,-25.3799133333
27,1627535.5,32.7395216667,-25.0051766667
28,1627540.9,32.7852039696,-25.3962820811
29,1627576.8,32.8664886909,-25.2587690948
30,1627600.0,32.860801855,-25.2702152716
31,1627543.0,32.7971679032,-25.3920030624
32,1627604.8,32.80291534,-25.38340294
33,1627611.6,32.8045797095,-25.390667071
34,1627859.2,32.8197218157,-25.3658026158
35,1627861.5,32.7680484142,-25.4510853659
36,1627625.3,32.724375,-25.4185133333
37,1627566.9,32.8034403009,-25.3821910688
38,1627846.2,32.807367354,-25.3789559973
39,1627847.9,32.7381483333,-25.4056266667
40,1628068.7,32.6287190633,-25.5187700241
41,1628070.0,32.8063562026,-25.3749562577
42,1628072.4,32.7474410305,-25.3733918567
43,1628069.4,32.8124238189,-25.3808900434
44,1627867.7,32.7722971292,-25.4515741958
45,1628073.1,32.7767420165,-25.4375182608
46,1627841.7,32.71437942,-25.4436916518
47,1627840.0,32.7650391063,-25.4600767601
48,1627843.1,32.7985233333,-25.3846683333
49,1627844.8,32.8009766667,-25.4013083333
50,1627845.5,32.6348433333,-25.02225
51,1627858.5,32.8023583333,-25.3885966667
52,1627862.2,32.7762609616,-25.453864759
53,1627826.4,32.8445284024,-25.2943862598
54,1627593.5,32.739415,-25.4977716667
55,1628074.8,,
56,1627989.6,32.8007933333,-25.39098
57,1627990.2,32.7675966667,-25.460045
58,1627954.4,32.7008893982,-25.4447406238
59,1628217.9,32.79475257,-25.382120167
60,1628216.2,32.8691499796,-25.2605870039
61,1628220.9,32.7263666667,-25.51391
62,1628222.3,32.858354311,-25.2725170372
63,1628213.1,32.8188281119,-25.3201204665
64,1627993.3,32.7824757209,-25.401100799
65,1627992.6,32.8067866667,-25.3999083333
66,1627987.2,32.8395798387,-25.3002049355
67,1627956.8,32.800065,-25.4011966667
68,1627955.1,32.7357983456,-25.4914146464
69,1627578.2,32.8073633333,-25.3927316667
70,1627994.0,32.7745167446,-25.4547913896
71,1628207.0,32.858707253,-25.267477094
72,1628208.7,32.8013806005,-25.3638127239
73,1628212.4,,
74,1628209.4,32.781555,-25.41033
75,1627991.9,,
76,1628214.8,32.7747570976,-25.4407257209
77,1627601.7,32.6298859941,-25.5358170054
78,1628219.3,32.637314539,-25.540263872
79,1628206.3,32.6634558456,-25.4684610271
80,1628211.7,32.7941604667,-25.4207827745
81,1627852.3,32.8058416667,-25.39454
82,1628215.5,32.8337787357,-25.1716337213
83,1627622.2,32.8661303062,-25.2562437515
84,1627623.9,32.8352661389,-25.2963095817
85,1627851.6,32.7923161662,-25.3946040802
86,1627945.2,32.7893661969,-25.3836243055
87,1627946.9,32.8565544642,-25.2425509917
88,1627850.9,32.8025186822,-25.4120377907
89,1627988.9,32.7400849581,-25.4994729077
90,1627953.7,32.7638912618,-25.458885134
91,1629608.4,32.8085185331,-25.1705769125
92,1629604.6,32.8165297348,-25.389399047
93,1629624.4,32.7946443414,-25.4014071324
94,1629625.1,32.8148137103,-25.3964971032
95,1628926.0,32.7922269689,-25.3943789571
96,1629623.7,32.852937961,-25.2733760918
97,1629603.9,32.7891108897,-25.3895535566
98,1629599.5,32.8079759915,-25.1665050188
99,1629615.2,32.7889382563,-25.4234302014
100,1629618.3,32.8030754918,-25.3855145753
101,1629595.7,,
102,1629620.6,32.9852766667,-25.259065
103,1629621.3,,
104,1629601.5,32.8011246989,-25.4076532184
105,1629622.0,32.6929795916,-25.457000307
106,1629598.8,32.7973076773,-25.3989026841
107,1629600.8,32.7607042512,-25.453571883
108,1629616.9,,
109,1629602.2,32.8100991718,-25.3999684878
110,1627621.5,32.8140690799,-25.3985086414
111,1629594.0,32.7177683333,-25.41913
112,1629614.5,32.7828443049,-25.4149759341
113,1627620.8,,
114,1627952.0,32.77157,-25.3374116667
115,1627947.6,32.7859115436,-25.3524568187
116,1627619.2,32.7687860945,-25.4465491491
117,1627949.0,32.8107580473,-25.3814506928
118,1627618.5,32.8120921811,-25.3785491971
119,1628861.4,32.8107766667,-25.3968083333
120,1629593.3,32.7390413606,-25.4283093704
121,1629597.1,32.7819966667,-25.4036083333
122,1629563.6,32.8145634316,-25.3964118398
123,1629568.1,32.7283496976,-25.5272364762
124,1629561.2,32.803916361,-25.3978190693
125,1629567.4,32.8007163817,-25.4075945671
126,1629566.7,32.8657289412,-25.2617879587
127,1627856.1,32.79211024,-25.41954437
128,1629575.9,32.8533809561,-25.2473614854
129,1629578.0,,
130,1629569.8,32.7861670395,-25.350206415
131,1628923.9,32.7882775184,-25.3948141601
132,1628948.2,32.8051816667,-25.401535
133,1628951.2,32.7828902906,-25.4127690766
134,1628953.6,32.8155946284,-25.3943089052
135,1628952.9,32.7944602549,-25.3812756695
136,1629574.2,32.8149786228,-25.379071012
137,1627855.4,32.8483281007,-25.1882211369
138,1627854.7,32.7997455251,-25.4139411826
139,1628955.0,32.7908289437,-25.3843087154
140,1628956.7,32.7312757086,-25.4238413838
141,1629570.4,32.6724018233,-25.4896400575
142,1629577.3,32.7986551983,-25.3683124127
143,1628959.8,32.8044359334,-25.4076448183
144,1628936.9,32.7998879394,-25.4023952142
145,1628940.6,32.8063145187,-25.3930964373
146,1628938.3,32.8427159691,-25.1738446956
147,1628942.0,32.8226639165,-25.3244117251
148,1628941.3,32.6525717198,-25.5088198725
149,1628937.6,32.7396841722,-25.4970839515
150,1628943.7,32.747209939,-25.4935743884
151,1629572.8,32.7797367496,-25.4317160679
152,1629576.6,32.8046204665,-25.3989806939
153,1628933.8,32.8016865199,-25.4145592037
154,1628945.1,32.8090911511,-25.1598059365
155,1628922.2,32.8037683333,-25.3947533333
156,1629584.1,,
157,1629586.5,32.7668753075,-25.4520992315
158,1629587.2,32.8021714647,-25.41366408
159,1629585.8,32.7964158076,-25.3849446026
160,1628244.5,32.8330640099,-25.296227559
161,1628245.2,32.8016632813,-25.4131844484
